libcell, Min_delay,Average_delay,Max_delay
INV_X5F_A9PP84TL_C16,0.005,0.0115,0.012
DLY2_X2N_A9PP84TR_C16,0.017,0.0233,0.035
DFFRPQ_X3N_A9PP84TR_C16,0.033,0.033,0.033
MXT2_X6N_A9PP84TR_C14,0.020,0.0214,0.024
INV_X7N_A9PP84TSL_C14,0.006,0.00943,0.014
NAND2_X2N_A9PP84TSL_C14,0.009,0.0103,0.015
MXT2_X6N_A9PP84TR_C16,0.025,0.025,0.025
NAND2B_X1N_A9PP84TSL_C14,0.015,0.0162,0.017
NAND2_X2N_A9PP84TSL_C16,0.014,0.016,0.017
AOI2XB1_X2N_A9PP84TSL_C14,0.008,0.008,0.008
PREICG_X2N_A9PP84TL_C14,0.010,0.0411,0.095
AOI31_X1N_A9PP84TR_C16,0.010,0.0288,0.046
PREICG_X2N_A9PP84TL_C16,0.028,0.048,0.083
OA21A1OI2_X1N_A9PP84TR_C14,0.045,0.045,0.045
AOI22_X1P5F_A9PP84TSL_C14,0.022,0.022,0.022
OA21A1OI2_X1N_A9PP84TR_C16,0.025,0.033,0.039
XNOR2_X4TN_A9PP84TR_C16,0.015,0.015,0.015
MXT2_X1N_A9PP84TR_C14,0.030,0.03,0.030
INV_X6R_A9PP84TSL_C14,0.004,0.00477,0.043
NAND2_X1R_A9PP84TSL_C14,0.009,0.0128,0.025
MXT2_X1N_A9PP84TR_C16,0.016,0.0363,0.045
NAND2_X1R_A9PP84TSL_C16,0.017,0.018,0.019
AOI21_X1N_A9PP84TSL_C14,0.011,0.0186,0.036
INV_X4N_A9PP84TL_C14,0.004,0.028,0.044
AOI21_X1N_A9PP84TSL_C16,0.020,0.0222,0.027
OAI31_X2N_A9PP84TSL_C14,0.022,0.022,0.022
INV_X4N_A9PP84TL_C16,0.007,0.007,0.007
PREICG_X10N_A9PP84TL_C14,0.020,0.0223,0.033
AO21_X1N_A9PP84TR_C16,0.009,0.0209,0.033
OAI211_X3N_A9PP84TL_C14,0.016,0.016,0.016
NAND2_X6TN_A9PP84TSL_C14,0.009,0.0135,0.016
OAI211_X3N_A9PP84TL_C16,0.016,0.016,0.016
SDFFXRPQ_X4N_A9PP84TSL_C14,0.014,0.0295,0.051
SDFFXRPQ_X4N_A9PP84TSL_C16,0.021,0.0474,0.063
NAND4_X3N_A9PP84TL_C14,0.020,0.02,0.020
MX2_X4N_A9PP84TR_C14,0.013,0.0164,0.027
INV_X7F_A9PP84TR_C14,0.008,0.008,0.008
MX2_X4N_A9PP84TR_C16,0.019,0.019,0.019
BUF_X32N_A9PP84TR_C14,0.015,0.0165,0.018
BUFH_X10N_A9PP84TSL_C14,0.009,0.00309,0.021
BUF_X32N_A9PP84TR_C16,0.016,0.0256,0.032
OAI21_X4N_A9PP84TSL_C14,0.009,0.0127,0.015
INV_X2F_A9PP84TR_C14,0.014,0.0187,0.019
NOR3BB_X2N_A9PP84TL_C14,0.022,0.022,0.022
BUF_X8N_A9PP84TSL_C14,0.019,0.019,0.019
NOR3_X1F_A9PP84TSL_C14,0.011,0.0153,0.023
BUF_X1N_A9PP84TL_C16,0.017,0.0786,0.102
INV_X6N_A9PP84TR_C14,0.005,0.0351,0.049
BUF_X10N_A9PP84TSL_C14,0.013,0.00396,0.020
NOR2_X6R_A9PP84TL_C14,0.019,0.019,0.019
INV_X6N_A9PP84TR_C16,0.008,0.0102,0.016
NOR2_X6R_A9PP84TL_C16,0.052,0.052,0.052
SDFFXSQ_X4N_A9PP84TSL_C14,0.038,0.0485,0.059
SDFFRPQH_X2N_A9PP84TR_C14,0.048,0.048,0.048
SDFFXSQ_X4N_A9PP84TSL_C16,0.026,0.0293,0.060
NAND3_X4N_A9PP84TSL_C14,0.008,0.0105,0.013
NAND2_X6R_A9PP84TL_C14,0.007,0.00733,0.008
MX2_X1N_A9PP84TSL_C16,0.023,0.023,0.023
INV_X20R_A9PP84TSL_C14,0.005,0.0093,0.009
BUFH_X2N_A9PP84TSL_C14,0.010,0.00411,0.031
INV_X4F_A9PP84TSL_C14,0.005,0.00758,0.015
BUFH_X2N_A9PP84TSL_C16,0.012,0.0129,0.013
BUFH_X7N_A9PP84TL_C14,0.008,0.0133,0.017
SDFFXRPQ_X4N_A9PP84TL_C14,0.030,0.03,0.030
NAND2_X1R_A9PP84TL_C16,0.018,0.018,0.018
AOI22_X3N_A9PP84TSL_C14,0.012,0.0142,0.016
SDFFXRPQ_X4N_A9PP84TL_C16,0.075,0.078,0.081
BUF_X10N_A9PP84TR_C14,0.014,0.0141,0.015
INV_X32R_A9PP84TR_C14,0.018,0.0189,0.019
AOI22_X3N_A9PP84TSL_C16,0.010,0.0102,0.011
BUF_X8N_A9PP84TR_C16,0.025,0.025,0.025
NAND2_X8N_A9PP84TSL_C14,0.015,0.015,0.015
BUFH_X2N_A9PP84TL_C14,0.030,0.03,0.030
BUFH_X2N_A9PP84TL_C16,0.013,0.036,0.056
AO21B_X2N_A9PP84TSL_C14,0.008,0.0141,0.024
OR2_X1N_A9PP84TR_C16,0.015,0.022,0.059
BUF_X3N_A9PP84TR_C14,0.018,0.018,0.018
AOI22_X2R_A9PP84TSL_C14,0.011,0.0145,0.027
NOR2_X3N_A9PP84TSL_C14,0.010,0.012,0.015
BUF_X3N_A9PP84TR_C16,0.016,0.0224,0.027
INV_X2N_A9PP84TSL_C14,0.006,0.0134,0.063
INV_X2N_A9PP84TSL_C16,0.008,0.0547,0.076
AOI22_X6F_A9PP84TR_C14,0.012,0.012,0.012
NOR2_X1TN_A9PP84TSL_C14,0.008,0.0085,0.009
DFFRPQ_X2N_A9PP84TSL_C16,0.053,0.053,0.053
NOR2_X2R_A9PP84TSL_C14,0.006,0.0075,0.013
PREICG_X6R_A9PP84TL_C14,0.026,0.055,0.057
NOR2_X2R_A9PP84TSL_C16,0.016,0.016,0.016
NAND2_X8R_A9PP84TR_C14,0.011,0.0136,0.016
OR2_X1N_A9PP84TSL_C14,0.014,0.0174,0.019
MXT2_X0P5N_A9PP84TR_C16,0.030,0.03,0.030
NOR2XB_X2N_A9PP84TSL_C14,0.009,0.0115,0.018
NOR2_X3R_A9PP84TR_C16,0.009,0.009,0.009
AOI22_X1F_A9PP84TR_C14,0.019,0.0381,0.071
INVP_X1F_A9PP84TR_C14,0.017,0.0184,0.029
AO1B2_X1N_A9PP84TR_C16,0.007,0.0318,0.043
INVP_X1F_A9PP84TR_C16,0.005,0.0332,0.093
AOI22_X1F_A9PP84TR_C16,0.008,0.0276,0.060
AO21A1AI2_X2N_A9PP84TSL_C14,0.015,0.0155,0.016
PREICG_X1R_A9PP84TL_C14,0.015,0.00824,0.021
NAND2_X3R_A9PP84TR_C14,0.016,0.016,0.016
SDFFYRPQ2D_X2N_A9PP84TL_C16,0.030,0.0344,0.043
PREICG_X1R_A9PP84TL_C16,0.018,0.0653,0.082
AO211_X2N_A9PP84TSL_C14,0.020,0.0262,0.032
NAND2_X3R_A9PP84TR_C16,0.016,0.016,0.016
PREICG_X14R_A9PP84TL_C14,0.021,0.022,0.024
BUFH_X4N_A9PP84TR_C14,0.012,0.0178,0.032
BUFH_X16N_A9PP84TSL_C14,0.008,0.0107,0.018
INV_X10R_A9PP84TR_C14,0.006,0.011,0.014
XNOR2_X1N_A9PP84TR_C14,0.014,0.014,0.014
XNOR2_X2TN_A9PP84TSL_C14,0.014,0.014,0.014
XNOR2_X1N_A9PP84TR_C16,0.006,0.0173,0.041
INV_X10R_A9PP84TR_C16,0.006,0.0065,0.007
BUF_X28N_A9PP84TSL_C14,0.014,0.0184,0.020
INV_X3R_A9PP84TL_C14,0.007,0.036,0.063
SDFFXRPQ_X1N_A9PP84TR_C14,0.029,0.0643,0.099
INV_X3R_A9PP84TL_C16,0.007,0.0152,0.061
SDFFXRPQ_X1N_A9PP84TR_C16,0.024,0.0948,0.115
SDFFRPQ_X2N_A9PP84TR_C16,0.048,0.0665,0.107
NOR4_X1N_A9PP84TSL_C14,0.024,0.0347,0.042
BUF_X16N_A9PP84TSL_C14,0.011,0.00272,0.022
NOR4_X1N_A9PP84TSL_C16,0.027,0.027,0.027
NAND3_X6R_A9PP84TR_C14,0.014,0.0203,0.030
INV_X14F_A9PP84TL_C16,0.005,0.005,0.005
NAND2_X2F_A9PP84TL_C14,0.011,0.0104,0.012
NAND2_X3TN_A9PP84TSL_C14,0.011,0.011,0.011
AOI31_X3N_A9PP84TL_C14,0.020,0.02,0.020
BUFH_X8N_A9PP84TSL_C14,0.010,0.0112,0.020
OAI211_X1N_A9PP84TSL_C14,0.010,0.0195,0.023
NOR2_X1N_A9PP84TL_C14,0.019,0.019,0.019
OAI211_X1N_A9PP84TSL_C16,0.020,0.0205,0.021
AOI211_X3N_A9PP84TSL_C14,0.014,0.016,0.018
NOR2_X1N_A9PP84TL_C16,0.051,0.0535,0.056
MXT2_X3N_A9PP84TL_C16,0.019,0.019,0.019
INV_X14R_A9PP84TSL_C14,0.004,0.00806,0.014
NAND2_X1N_A9PP84TL_C14,0.022,0.023,0.024
INV_X5R_A9PP84TR_C16,0.006,0.0195,0.056
NAND2_X1N_A9PP84TL_C16,0.023,0.0243,0.025
AO21B_X1N_A9PP84TL_C14,0.008,0.008,0.008
INV_X8N_A9PP84TSL_C14,0.006,0.0101,0.016
AO22_X1N_A9PP84TSL_C14,0.016,0.0195,0.021
NAND2_X3N_A9PP84TSL_C14,0.011,0.0115,0.012
AO21A1AI2_X1N_A9PP84TR_C16,0.008,0.0303,0.050
INV_X16F_A9PP84TR_C14,0.004,0.0048,0.005
NAND2B_X2N_A9PP84TSL_C14,0.020,0.0213,0.022
NAND2_X3N_A9PP84TSL_C16,0.017,0.017,0.017
NAND2_X4F_A9PP84TR_C14,0.014,0.014,0.014
MX2_X6N_A9PP84TL_C14,0.013,0.013,0.013
AOI211_X2N_A9PP84TR_C16,0.030,0.03,0.030
NOR2_X8R_A9PP84TSL_C14,0.033,0.033,0.033
INV_X7R_A9PP84TSL_C14,0.005,0.01,0.015
BUFH_X10N_A9PP84TR_C14,0.009,0.0122,0.017
NAND2_X2R_A9PP84TSL_C14,0.007,0.0123,0.018
BUFH_X10N_A9PP84TR_C16,0.009,0.0101,0.013
NAND2_X2R_A9PP84TSL_C16,0.012,0.012,0.012
PREICG_X6N_A9PP84TL_C14,0.031,0.0533,0.062
AOI21_X2N_A9PP84TSL_C14,0.012,0.0154,0.018
INV_X4F_A9PP84TL_C14,0.010,0.0157,0.027
XOR2_X4TN_A9PP84TR_C14,0.015,0.015,0.015
PREICG_X6N_A9PP84TL_C16,0.036,0.0143,0.049
AOI21_X2N_A9PP84TSL_C16,0.014,0.017,0.019
AOI22_X2R_A9PP84TL_C14,0.014,0.014,0.014
OAI31_X3N_A9PP84TSL_C14,0.012,0.0103,0.012
DLY2_X1N_A9PP84TR_C16,0.014,0.0285,0.057
DFFRPQ_X2N_A9PP84TR_C16,0.071,0.0747,0.081
INV_X24N_DCAP32_A9PP84TL_C14,0.002,0.0001,0.020
NOR2XB_X2N_A9PP84TL_C16,0.012,0.012,0.012
NAND2_X3TN_A9PP84TR_C14,0.012,0.012,0.012
PREICG_X1N_A9PP84TL_C14,0.014,0.0222,0.099
NAND2_X3N_A9PP84TR_C14,0.016,0.0193,0.026
PREICG_X1N_A9PP84TL_C16,0.016,0.0441,0.082
INV_X8N_A9PP84TL_C14,0.005,0.006,0.007
AO22_X1N_A9PP84TL_C14,0.017,0.017,0.017
INV_X1P5N_A9PP84TSL_C14,0.007,0.007,0.007
NOR2B_X1N_A9PP84TSL_C14,0.017,0.0203,0.034
INV_X8N_A9PP84TL_C16,0.007,0.007,0.007
AO22_X1N_A9PP84TL_C16,0.018,0.0187,0.020
PREICG_X14N_A9PP84TL_C14,0.021,0.0256,0.031
INV_X1P5N_A9PP84TSL_C16,0.010,0.01,0.010
NOR2B_X1N_A9PP84TSL_C16,0.031,0.031,0.031
AND2_X1N_A9PP84TSL_C14,0.016,0.0288,0.045
PREICG_X14N_A9PP84TL_C16,0.025,0.0303,0.032
SDFFRPQH_X4N_A9PP84TL_C14,0.036,0.036,0.036
AND2_X1N_A9PP84TSL_C16,0.020,0.02,0.020
SDFFRPQH_X4N_A9PP84TL_C16,0.031,0.0362,0.039
INV_X10N_A9PP84TR_C14,0.004,0.00638,0.016
INV_X24F_A9PP84TSL_C14,0.008,0.008,0.008
INV_X3N_A9PP84TL_C14,0.007,0.01,0.026
INV_X3N_A9PP84TL_C16,0.006,0.018,0.048
MX2_X8N_A9PP84TR_C14,0.014,0.0169,0.021
NOR2_X1P5N_A9PP84TL_C16,0.115,0.115,0.115
NAND4_X1N_A9PP84TSL_C14,0.024,0.024,0.024
NAND2XB_X2N_A9PP84TSL_C14,0.009,0.00988,0.015
INV_X12F_A9PP84TSL_C14,0.005,0.00976,0.014
INV_X12F_A9PP84TSL_C16,0.008,0.008,0.008
NOR2_X6TN_A9PP84TSL_C14,0.008,0.0135,0.025
NOR2B_X2N_A9PP84TL_C16,0.032,0.032,0.032
NAND4_X2N_A9PP84TL_C14,0.017,0.017,0.017
INV_X1P5R_A9PP84TR_C16,0.011,0.0271,0.060
NOR3_X2F_A9PP84TSL_C14,0.008,0.0144,0.016
BUF_X12N_A9PP84TL_C14,0.009,0.00139,0.042
MX2_X3N_A9PP84TR_C14,0.014,0.016,0.018
INV_X6F_A9PP84TR_C14,0.026,0.026,0.026
NAND4_X2N_A9PP84TL_C16,0.018,0.018,0.018
AOI22_X4R_A9PP84TR_C14,0.014,0.0155,0.017
